"Translation ID";"Description";"fi-FI";"eu-ES";"hr-HR";"th-TH";"nl-NL";"ru-RU";"es-ES";"ro-RO";"pt-PT";"sl-SI";"et-EE";"de-DE";"pt-BR";"hy-AM";"nb-NO";"gl-ES";"fa-IR";"cs-CZ";"id-ID";"ta-IN";"en-US";"el-GR";"ja-JP";"sr-Latn-RS";"hi-IN";"ca-ES";"zh-CN";"sk-SK";"hu-HU";"ko-KR";"ar-AE";"he-IL";"tr-TR";"sv-SE";"uk-UA";"ga-IE";"fr-FR";"bn-IN";"pl-PL";"lt-LT";"vi-VN";"it-IT"
"containsUserName";"";"Sisältää käyttäjätunnuksen";"erabiltzaile izena dauka";"Sadrži korisničko ime";"";"Bevat gebruikersnaam";"Содержит имя пользователя";"Contiene nombre de usuario";"Conține nume de utilizator";"";"Vsebuje uporabniško ime";"Sisaldab kasutajanime";"Enthält Benutzernamen";"Contém nome de usuário";"";"Inneholder brukernavn";"Contén nome de usuaria";"نام کاربری را شامل می‌کند";"Obsahuje uživatelské jméno";"Berisi nama pengguna";"";"Contains username";"";"ユーザー名を含んでいます";"Садржи корисничко име";"";"Conté el nom d’usuari";"包含用户名";"";"Tartalmazza a felhasználónevet";"유저 이름 포함";"يحوي اسم المستخدم";"מכיל שם משתמש";"Kullanıcı adı içerir";"Innehåller användarnamn";"Містить ім’я користувача";"Coinníonn sé ainm úsáideora";"Contient un nom d'utilisateur·ice";"";"Posiada nazwę użytkownika";"Yra vartotojo vardas";"";"Contiene nome utente"
"contentHasBeenReported";"";"Sisältö on ilmoitettu palvelimen ylläpitäjille";"Edukia zerbitzariko administrariei jakinarazi zaie";"Sadržaj je prijavljen administratorima poslužitelja";"";"De inhoud is gerapporteerd aan de serverbeheerders";"О контенте было сообщено администраторам сервера";"El contenido ha sido reportado a los administradores del servidor";"Conținutul a fost reportat la administratori serverului";"";"Vsebina je bila prijavljena skrbnikom strežnika";"Saatsime selle sisu kohta teate koduserveri haldajate";"Der Inhalt wurde den Serveradministratoren gemeldet";"O conteúdo foi denunciado para quem administra o servidor";"";"Innholdet har blitt rapportert til tjeneradministratorene";"O contido foi denunciado á administración do servidor";"این محتوا به مدیران سرور گزارش شد";"Obsah byl nahlášen správcům serveru";"Konten telah dilaporkan ke admin server";"";"The content has been reported to the server admins";"";"サーバー管理者に通報されました";"Садржај је пријављен администраторима сервера";"";"El contingut s’ha denunciat als administradors del servidor";"此内容已被报告至服务器管理员处";"";"A tartalom jelentve lett a szerver üzemeltetőinek";"콘텐츠가 서버 운영자에게 신고되었습니다";"أّرسل الابلاغ الى مدير الخادم";"התוכן דווח למנהלי השרת";"İçerik, sunucu yöneticilerine bildirildi";"Innehållet har rapporterats till server-admins";"Скаргу на вміст надіслано адміністраторам сервера";"Tuairiscíodh an t-ábhar do lucht riaracháin an fhreastalaí";"Le contenu a été signalé aux administrateurs du serveur";"";"Zawartość została zgłoszona administratorom serwera";"Apie turinį pranešta serverio administratoriams";"";"Il contenuto è stato segnalato agli amministratori del server"
"contentViewer";"";"Sisällön katselin";"Eduki ikustailea";"Prikazivač sadržaja";"";"Contentvoorvertoning";"Просмотр содержимого";"Visor de contenido";"";"";"Pregledovalnik vsebine";"Sisukuvaja";"Content Viewer";"Visualizador de conteúdo";"";"Innholdsviser";"Visor de contido";"تماشا کننده محتوا";"Prohlížeč obsahu";"Tampilan konten";"";"Content viewer";"";"コンテンツビューアー";"Прегледач садржаја";"";"Visualitzador de continguts";"内容查看器";"Prehliadač obsahu";"Tartalommegjelenítő";"콘텐츠 뷰어";"عارض المحتوى";"מציג התוכן";"İçerik görüntüleyici";"Innehållsvisare";"Переглядач вмісту";"Amharcóir ábhair";"Visionneuse de contenu";"";"Przeglądarka treści";"Turinio peržiūra";"";"Visualizzatore contenuti"
"continueWith";"";"Jatka käyttäen:";"Jarraitu honekin:";"Nastavi sa:";"";"";"";"";"Continuați cu:";"";"";"Jätkamiseks kasuta:";"";"";"";"";"Continuar con:";"ادامه دادن با:";"";"Lanjutkan dengan:";"";"Continue with:";"";"";"";"";"";"";"";"";"";"أكمل ب:";"";"Devam et:";"";"Продовжити за допомогою:";"";"";"";"";"";"";""
"copiedToClipboard";"";"Kopioitu leikepöydälle";"Arbelera kopiatua";"Kopirano u međuspremnik";"";"Gekopieerd naar klembord";"Скопировано в буфер обмена";"Copiado al portapapeles";"Copiat în clipboard";"Copiada para a área de transferência";"Kopirano v odložišče";"Kopeerisin lõikelauale";"Wurde in die Zwischenablage kopiert";"Copiado para área de transferência";"";"Kopiert til utklippstavle";"Copiado ó portapapeis";"در حافظه کپی شده";"Zkopírováno do schránky";"Disalin ke papan klip";"";"Copied to clipboard";"";"クリップボードにコピーされました";"Копирано у клипборд";"";"S’ha copiat al porta-retalls";"已复制到剪贴板";"Skopírované do schránky";"Vágólapra másolva";"클립보드에 복사됨";"نُسخ للحافظة";"הועתק ללוח הגזירים";"Panoya kopyalandı";"Kopierat till urklipp";"Скопійовано в буфер обміну";"Cóipeáilte ar an ghearrthaisce";"Copié dans le presse-papier";"";"Skopiowano do schowka";"Nukopijuota į iškarpinę";"";"Copiato negli Appunti"
"copy";"";"Kopioi";"Kopiatu";"Kopiraj";"";"Bericht kopiëren";"Копировать";"Copiar";"Copiați";"";"Kopiraj";"Kopeeri";"Kopieren";"Copiar";"";"Kopier";"Copiar";"کپی";"Kopírovat";"Salin";"";"Copy";"";"コピー";"Копирај";"";"Copia";"复制";"Kopírovať";"Másolás";"복사";"انسخ";"העתק";"Kopyala";"Kopiera";"Копіювати";"Cóipeáil";"Copier";"";"Kopiuj";"Kopijuoti";"Sao chép";"Copia"
"copyToClipboard";"";"Kopioi leikepöydälle";"Kopiatu arbelera";"Kopiraj u međuspremnik";"";"Kopieer naar klembord";"Скопировать в буфер обмена";"Copiar al portapapeles";"Copiați în clipboard";"";"Kopiraj v odložišče";"Kopeeri lõikelauale";"In Zwischenablage kopieren";"Copiar para a área de transferência";"";"Kopier til utklippstavle";"Copiar ao portapapeis";"در حافظه کپی کنید";"Zkopírovat do schránky";"Salin ke papan klip";"";"Copy to clipboard";"";"クリップボードにコピー";"Копирај у клипборд";"";"Copia al porta-retalls";"复制到剪贴板";"";"Vágólapra másolás";"클립보드에 복사";"انسخ الى الحافظة";"העתק ללוח";"Panoya kopyala";"Kopiera till urklipp";"Копіювати до буфера обміну";"Cóipeáil ar an ghearrthaisce";"Copier dans le presse-papiers";"";"Skopiuj do schowka";"Koipjuoti į iškarpinę";"";"Copia negli appunti"
"couldNotDecryptMessage";"";"Viestin salausta ei voitu purkaa: {error}";"Ezin izan da mezua deszifratu: {error}";"Neuspjelo dešifriranje poruke: {error}";"";"Kan het bericht niet decoderen: {error}";"Не удалось расшифровать сообщение: {error}";"No se pudo descifrar el mensaje: {error}";"Dezcriptarea mesajului a eșuat: {error}";"";"Sporočila ni bilo mogoče dešifrirati: {error}";"Sõnumi dekrüptimine ei õnnestunud: {error}";"Nachricht konnte nicht entschlüsselt werden: {error}";"Não foi possível decriptar a mensagem: {error}";"";"Kunne ikke dekryptere melding: {error}";"Non se descifrou a mensaxe: {error}";"پیام نتوانست رمزگشایی شود: {error}";"Nebylo možné dešifrovat zprávu: {error}";"Tidak dapat mendekripsikan pesan: {error}";"";"Could not decrypt message: {error}";"";"メッセージを解読できませんでした: {error}";"Не могу да дешифрујем поруку: {error}";"";"No s'ha pogut desxifrar el missatge: {error}";"不能解密消息:{error}";"Nebolo možné dešifrovať správu: {error}";"Nem sikerült visszafejteni a titkosított üzenetet: {error}";"메시지 복호화할 수 없음: {error}";"تعذر فك تشفير الرسالة: {error}";"לא ניתן לפענח הודעה: {error}";"Mesajın şifresi çözülemedi: {error}";"Kunde ej avkoda meddelande: {error}";"Помилка розшифрування повідомлення: {error}";"Níorbh fhéidir teachtaireacht a dhíchriptiú: {error}";"Impossible de déchiffrer le message : {error}";"";"Nie można odszyfrować wiadomości: {error}";"Nepavyko iššifruoti pranešimo: {error}";"Không thể giải mã tin nhắn: {error}";"Impossibile decriptare messaggio: {error}"
"couldNotSetAvatar";"";"Profiilikuvan asetus ei onnistunut";"Ezin izan da irudia ezarri";"Neuspjelo postavljanje avatara";"";"Kan avatar niet instellen";"Не удалось установить аватар";"No se pudo establecer la imagen de perfil";"";"";"Avatarja ni bilo mogoče nastaviti";"Tunnuspildi seadmine ei õnnestunud";"Profilbild konnte nicht gesetzt werden";"Não foi possível fixar o avatar";"";"Kunne ikke sette avatar";"Non se estableceu o avatar";"عکس پروفایل نتوانست تنظیم شود";"Nebylo možné nastavit avatar";"Tidak dapat mengubah avatar";"";"Could not set avatar";"";"アバターをセットできませんでした";"Не могу да поставим аватар";"";"No s'ha pogut establir la imatge de perfil";"不能设定头像";"Nepodarilo sa nastaviť avatar";"Nem sikerült beállítani a profilképet";"아바타 설정할 수 없음";"تعذر تعيين الصورة الشخصية";"לא היתה אפשרות להגדיר אווטאר";"Avatar ayarlanamadı";"Kunde ej sätta avatar";"Помилка встановлення аватара";"Níorbh fhéidir abhatár a shocrú";"Impossible de changer d'image de profil";"";"Nie można ustawić zdjęcia profilowego";"Nepavyko nustatyti avataro";"Không thể đặt ảnh đại diện";"Impossibile impostare avatar"
"couldNotSetDisplayname";"";"Näyttönimen asettaminen ei onnistunut";"Ezin izan da bistaratze-izena ezarri";"Neuspjelo postavljanje prikaznog imena";"";"Kan naam niet instellen";"Не удалось установить отображаемое имя";"No se pudo establecer el nombre visible";"";"";"Prikaznega imena ni bilo mogoče nastaviti";"Kuvatava nime määramine ei õnnestunud";"Anzeigename konnte nicht gesetzt werden";"Não foi possível fixar o nome de exibição";"";"Kunne ikke sette visningsnavn";"Non se estableceu o nome público";"نام نمایش نتوانست تنظیم شود";"Nebylo možné nastavit přezdívku uživatele";"Tidak dapat mengubah nama tampilan";"";"Could not set displayname";"";"表示名をセットできませんでした";"Не могу да поставим име за приказ";"";"No s’ha pogut definir el nom visible";"不能设定显示名称";"Nepodarilo sa nastaviť prezývku užívateľa";"Nem sikerült beállítani a megjelenítési nevet";"표시 이름 설정할 수 없음`";"تعذر تعيين الاسم العلني";"לא היתה אפשרות להגדיר שם תצוגה";"Görünen ad ayarlanamadı";"Kunde ej sätta visningsnamn";"Помилка встановлення показуваного імені";"Níorbh fhéidir an t-ainm taispeána a shocrú";"Impossible de changer de nom d'affichage";"";"Nie można ustawić wyświetlanego nicku";"Nepavyko nustatti vardo";"Không thể thay tên hiển thị";"Impossibile impostare nome"
"countFiles";"";"{count} tiedostoa";"{count} fitxategi";"Broj datoteka: {count}";"";"{count} bestanden";"Количество файлов равно = {count}";"";"{count} fișiere";"";"";"{count} faili";"{count} Dateien";"{count} arquivos";"";"";"{count} ficheiros";"{count} فایل";"";"{count} file";"";"{count} files";"";"{count}個のファイル";"";"";"";"{count} 个文件";"";"";"";"ملفات {count}";"";"{count} dosya";"{count} filer";"{count} файлів";"";"{count} fichiers";"";"{count} plików";"{count} failai";"";""
"countParticipants";"";"{count} osallistujaa";"{count} partaide";"{count} sudionika";"";"{count} personen";"Количество участников равно = {count}";"{count} participantes";"{count} participanți";"";"{count} udeležencev";"{count} osalejat";"{count} Mitglieder";"{count} participantes";"";"{count} deltagere";"{count} participantes";"{count} تا شرکت کننده";"{count} účastníků";"{count} anggota";"";"{count} participants";"";"{count}名の参加者";"учесника: {count}";"";"{count} participants";"{count} 名参与者";"{count} účastníkov";"{count} résztvevő";"{count} 참여자";"{count} منتسبا";"{count} משתתפים";"{count} katılımcı";"{count} deltagare";"Учасників: {count}";"{count} rannpháirtithe";"{count} participant(s)";"";"{count} uczestników";"{count} dalyviai";"{count} thành viên";"{count} partecipanti"
"create";"";"Luo";"Sortu";"Stvori";"";"Aanmaken";"Создать";"Crear";"Creați";"";"Ustvari";"Loo";"Erstellen";"Criar";"";"Opprett";"Crear";"سازید";"Vytvořit";"Buat";"";"Create";"";"作成";"Направи";"";"Crea";"创建";"Vytvoriť";"Létrehozás";"생성";"أنشئ";"צור";"Oluştur";"Skapa";"Створити";"Cruthaigh";"Créer";"";"Stwórz";"Sukurti";"Tạo";"Crea"
"createAccountNow";"";"Luo tunnus nyt";"Sortu kontua orain";"Stvori račun sada";"";"Maak nu een account aan";"Создать учётную запись сейчас";"Crear cuenta ahora";"";"";"Ustvarite račun zdaj";"Tee nüüd kasutajakonto";"Konto jetzt erstellen";"Criar conta agora";"";"Opprett konto nå";"Crear unha conta";"الان حساب سازید";"Vytvořit účet teď";"Buat akun sekarang";"";"Create account now";"";"アカウントを作成する";"Направи налог сада";"";"Crea un compte ara";"现在创建账户";"Vytvoriť účet teraz";"Új fiók létrehozása";"지금 계정 생성하기";"أنشئ حسابًا الآن";"צור חשבון עכשיו";"Şimdi hesap oluştur";"Skapa konto nu";"Створити обліковий запис зараз";"Déan cuntas anois";"Créer un compte";"";"Stwórz konto teraz";"Sukurti vartotoją dabar";"Tạo tài khoản mới ngay";"Crea ora un account"
